"code","iso","country","WTL.ind.1995","WTL.ind.1996","WTL.ind.1997","WTL.ind.1998","WTL.ind.1999","WTL.ind.2000","WTL.ind.2001","WTL.ind.2002","WTL.ind.2003","WTL.ind.2004","WTL.ind.2005","WTL.ind.2006","WTL.ind.2007","WTL.ind.2008","WTL.ind.2009","WTL.ind.2010","WTL.ind.2011","WTL.ind.2012","WTL.ind.2013","WTL.ind.2014","WTL.ind.2015","WTL.ind.2016","WTL.ind.2017","WTL.ind.2018","WTL.ind.2019","WTL.ind.2020","WTL.ind.2021","WTL.ind.2022"
36,"AUS","Australia",41.8789572864958,41.8789572864958,41.8789572864958,40.3936598819576,37.3641766865412,39.0781159109008,40.7609238169186,43.7872713276553,45.9827901573645,56.0726246057368,100,100,100,100,100,100,100,92.35285465014,88.6011559593721,88.6011559593721,88.1725012311864,88.1725012311864,92.4490434157594,98.689593424867,63.6727261046941,60.607067482944,60.607067482944,60.607067482944
40,"AUT","Austria",28.0191819473175,28.0191819473175,28.0191819473175,28.0191819473175,28.2643864597702,36.425099712767,50.5602766486818,99.5152156352406,63.7348015631446,63.7348015631446,63.7348015631446,53.2642293697016,31.1676521370466,22.684174098455,21.7343147551795,21.7343147551795,21.9957092450934,26.0317475995645,43.7395966624544,63.9103370979968,63.9103370979968,63.9103370979968,46.6072794292468,46.6072794292468,46.6072794292468,46.6072794292468,46.6072794292468,46.6072794292468
31,"AZE","Azerbaijan",100,100,100,100,100,48.4620474391143,28.1275966238242,28.1275966238242,28.1275966238242,28.1275966238242,29.4354027087713,100,100,100,100,100,100,100,100,100,100,48.5721875175197,48.5721875175197,48.5721875175197,48.5721875175197,48.5721875175197,48.5721875175197,48.5721875175197
44,"BHS","Bahamas",31.3455356297763,31.3455356297763,31.3455356297763,29.7726726584404,24.175451284296,18.5517436564543,16.0250555317249,16.7860977015723,16.6593497571222,18.4063289277673,26.2076681339545,35.11858015594,35.11858015594,32.8888090511942,27.3315776274462,27.2672500280951,29.1431297740736,29.0836431137964,32.8614650606822,69.2221796493814,71.7802329791861,71.7802329791861,78.0384626957514,71.6224186901769,71.6224186901769,75.2708890726818,75.2708890726818,75.2708890726818
48,"BHR","Bahrain",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
50,"BGD","Bangladesh",45.4480473423909,45.4480473423909,45.4480473423909,40.3079215651055,33.102160342697,27.5580651759928,28.9882508242777,29.2730376894817,30.664671309058,35.7691115244261,100,100,100,100,100,100,45.445043906097,44.7208286527531,42.266963508401,34.4592741949306,34.4592741949306,36.0556406261773,36.3483274334083,37.2826134127046,33.7493976550072,33.7493976550072,33.7493976550072,33.7493976550072
52,"BRB","Barbados",100,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
112,"BLR","Belarus",56.9113657220375,56.9113657220375,56.9113657220375,62.4878458315793,69.5401142714224,69.5401142714224,56.4992023291694,45.591811182557,45.591811182557,44.801166702024,38.0956767125683,32.9774193844647,32.4957199298067,26.766097493727,25.4780540083624,26.7705900097515,29.7684377466618,31.593476232078,42.2084294100456,46.4211237615676,47.0486831965667,37.5646738431378,32.2677417235535,32.9525549048768,34.5603528927391,32.7063533483141,32.7063533483141,32.7063533483141
56,"BEL","Belgium",27.6766223461648,27.6766223461648,27.6766223461648,30.1791522974602,31.5028304842797,35.5665934528945,36.2986747531437,27.1130302284902,23.850091030672,24.5044342525989,24.7112601121638,23.8340434830102,33.611047298319,47.8740240307252,47.8740240307252,47.8740240307252,60.9878859280418,60.9878859280418,60.9878859280418,33.4315042751283,33.4315042751283,25.8371777897947,19.790852256543,18.4777841841794,18.8819779135488,18.7543741980251,18.7543741980251,18.7543741980251
84,"BLZ","Belize",4.13185365475293,4.13185365475293,4.13185365475293,4.00111583775789,3.96867316288541,34.7967297563556,23.7891808087158,23.7891808087158,21.2234444384539,21.6091512835003,22.8602715735072,32.7818857931943,32.7818857931943,40.8769917159875,40.8769917159875,37.3749181770429,29.6479746536019,29.6479746536019,33.3876415705149,33.3876415705149,35.5749541371844,100,100,100,100,100,100,100
