"code","iso","country","GHP.ind.1995","GHP.ind.1996","GHP.ind.1997","GHP.ind.1998","GHP.ind.1999","GHP.ind.2000","GHP.ind.2001","GHP.ind.2002","GHP.ind.2003","GHP.ind.2004","GHP.ind.2005","GHP.ind.2006","GHP.ind.2007","GHP.ind.2008","GHP.ind.2009","GHP.ind.2010","GHP.ind.2011","GHP.ind.2012","GHP.ind.2013","GHP.ind.2014","GHP.ind.2015","GHP.ind.2016","GHP.ind.2017","GHP.ind.2018","GHP.ind.2019","GHP.ind.2020","GHP.ind.2021","GHP.ind.2022"
76,"BRA","Brazil",48.2237420966257,48.3670761539086,47.7603547437121,47.2847024354804,47.3518775324993,46.7698820798933,46.4642961642603,46.1158759293384,45.6647689629468,44.5513134848119,44.5721147112272,45.0712704805964,44.6800758556456,44.5030649568365,45.7747600918892,43.3049629178165,43.2333812605446,42.6099573517407,41.9271846654971,41.1181120702139,41.9931884419203,42.5135356957759,42.3825728117109,43.1585179489977,43.240424675574,43.240424675574,43.240424675574,43.240424675574
92,"VGB","British Virgin Islands",40.9845964046168,39.2247230036857,39.4578427170968,38.9574018365677,39.2469549476805,38.5211248681671,38.1431087114037,37.3094336686285,35.8203634991242,33.9374154893113,31.9435350047981,32.4904093359245,33.1561404651261,33.9307811941345,34.9524123215572,34.5671977160321,34.6110313293985,34.9644069438436,35.1377871443167,33.7149767683127,33.8965291767952,34.109850608626,41.0159963406345,40.2818403421052,39.3624571446092,39.3624571446092,39.3624571446092,39.3624571446092
96,"BRN","Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"BGR","Bulgaria",28.3568244938837,28.7614551752096,30.4623086147871,32.2845602625347,35.0009090056788,35.7359468641307,34.0277643726543,34.3611064764488,32.4595196009312,32.7689944960248,32.1661773173116,31.914899760393,29.6351760189739,30.4958746005916,34.6826244228622,33.524856567302,30.0593357126718,32.5752255705544,35.3162288401563,33.4370647697746,31.4977278966209,32.8150728270099,30.9288683695031,32.1081201425221,32.7588249756103,32.7588249756103,32.7588249756103,32.7588249756103
854,"BFA","Burkina Faso",84.7200912421534,85.3848689023534,84.929451387783,85.3190938513799,86.65584027563,85.3076527815625,86.9525924878598,86.8979235872866,82.2244364951132,81.958050285528,81.5407586110687,82.3516994834732,82.2649294957146,82.0790180613484,82.0700241593104,81.5415540879603,81.9517829898741,82.0586359255,81.888172527041,82.3017937836235,82.4165449481391,81.9426486303773,81.8599167094508,82.6582824945214,82.8171337336674,82.8171337336674,82.8171337336674,82.8171337336674
108,"BDI","Burundi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
132,"CPV","Cabo Verde",100,100,100,100,99.4842359475994,97.3541228457701,95.8877488318746,93.6021880902501,93.4433306200483,91.8940545536796,86.627351949596,85.4989904586191,84.3724305283513,86.181050407756,83.960514343204,82.5408067191638,81.9078464193753,86.6755597571674,87.224517380391,87.8359931691741,87.9033781377141,86.2051057206031,85.6669941810099,80.2641767293012,80.1144218918619,80.1144218918619,80.1144218918619,80.1144218918619
116,"KHM","Cambodia",77.0163412763352,77.4362815870651,78.1744441576909,78.1713670507368,77.1630224644011,79.3654324680932,79.8529030134552,79.3787369936555,77.7890492009523,79.1314834238746,77.6930511583263,76.4438986795844,75.9320569669358,75.7239640943035,73.6165965082403,73.3059857208773,72.5131902306669,73.4548435578679,73.9075123276419,73.9785533697134,72.4605906917371,70.9118979727504,68.7708149923153,68.2977874452778,65.6945629754156,65.6945629754156,65.6945629754156,65.6945629754156
120,"CMR","Cameroon",74.6430584837503,73.6038438121241,74.998870257283,74.7811700922513,75.3989852882904,74.3482151056848,75.9951000188234,77.9087310318401,76.9499085608364,79.5914662038423,79.2060848565265,81.5584342011509,80.9603368860868,81.8272232615226,81.684751759029,82.7223665876288,84.4397573630862,85.2361150207375,85.7651543923322,84.0747454257456,81.9559937260314,82.1524259473893,84.9205654583947,84.9475267505141,86.2818068797907,86.2818068797907,86.2818068797907,86.2818068797907
124,"CAN","Canada",1.16881514656865,0.699955933594111,0.258217808890834,0.0613202324337294,0,0,0,0.469700001052658,0,0,0,0,0,0.578402587684721,2.3476801744155,2.90626542146487,3.11095061859089,3.32808937564893,3.29246778276458,2.65436556687901,2.4565842157384,2.97930612270032,2.45312898738644,2.24743120294106,2.51597943695744,2.51597943695744,2.51597943695744,2.51597943695744
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
