"code","iso","country","CHA.ind.1995","CHA.ind.1996","CHA.ind.1997","CHA.ind.1998","CHA.ind.1999","CHA.ind.2000","CHA.ind.2001","CHA.ind.2002","CHA.ind.2003","CHA.ind.2004","CHA.ind.2005","CHA.ind.2006","CHA.ind.2007","CHA.ind.2008","CHA.ind.2009","CHA.ind.2010","CHA.ind.2011","CHA.ind.2012","CHA.ind.2013","CHA.ind.2014","CHA.ind.2015","CHA.ind.2016","CHA.ind.2017","CHA.ind.2018","CHA.ind.2019","CHA.ind.2020","CHA.ind.2021","CHA.ind.2022"
100,"BGR","Bulgaria",77.0596770676762,77.0596770676762,77.0596770676762,77.0596770676762,77.0596770676762,70.4939525716366,69.5009202177992,77.4509527734022,74.4082295028382,69.9072805383864,75.9942784033859,78.0382064878003,74.2748013325509,71.9070646745512,70.6329988203417,69.9303517943158,66.7746504154341,68.7562209273804,74.2932506894194,76.5717006103122,73.2317347649072,70.3174982797599,63.5575788760429,60.4283711089623,58.1389945811327,58.1389945811327,58.1389945811327,58.1389945811327
854,"BFA","Burkina Faso",28.3787294782518,28.3787294782518,28.3787294782518,28.3787294782518,28.3787294782518,29.1577265796108,30.5014226189783,31.6336177670584,24.2172787497485,16.1176128213997,7.77094530041201,3.51144110604152,0.158258448609203,0,1.8786604668292,4.44969988327881,10.7575369797825,20.4829472545735,21.933485675238,22.8765938482757,23.0720770302075,23.5726711210293,24.5862030177039,25.6786311950563,26.3207796116811,26.3207796116811,26.3207796116811,26.3207796116811
108,"BDI","Burundi",46.2387533623123,46.2387533623123,46.2387533623123,46.2387533623123,46.2387533623123,52.5670487609889,49.4228508570706,47.3562481438327,45.4783276305395,41.1237448009627,34.6476255093883,26.2752764894023,16.8204437399812,8.13120725826791,10.1981224620675,12.3197715938854,8.5809530470042,14.1980188956549,11.9319398787405,12.8534994055569,15.6471517748884,15.9672970301558,13.0108615776707,11.5750753175356,15.4619317096116,15.4619317096116,15.4619317096116,15.4619317096116
132,"CPV","Cabo Verde",18.1904249020354,18.1904249020354,18.1904249020354,18.1904249020354,18.1904249020354,18.5238532315741,18.9856082567738,17.022935830977,23.8080607541721,29.1360347225322,33.0428687506749,39.0213617375838,44.1043435616312,46.3596322738892,45.9214421061502,43.0201543804413,39.9695688909107,34.8094186863037,37.6398141861207,38.0018892170939,37.9785109591137,38.0857939394618,41.2498268835608,44.0731306738175,44.890919163691,44.890919163691,44.890919163691,44.890919163691
116,"KHM","Cambodia",27.7708715747178,27.7708715747178,27.7708715747178,27.7708715747178,27.7708715747178,27.7708715747178,27.7708715747178,27.7708715747178,26.6791845396539,36.9635637094183,34.4524042416023,30.9836549691677,28.4244396411383,26.8214743508785,20.292214470909,19.1022953433694,18.9624410134297,21.5963667466898,22.8571901156682,30.3722888034341,36.1303523645781,39.2259586469327,41.7461948603017,45.3965715435429,45.7042754328667,45.7042754328667,45.7042754328667,45.7042754328667
120,"CMR","Cameroon",50.8945337256233,50.8945337256233,50.8945337256233,50.8945337256233,50.8945337256233,43.8904469801368,36.7136725216661,33.9463445911178,32.1393958619862,39.044849248178,42.9723548692411,47.5958374721834,55.5400380078713,62.09390503208,66.197440278157,64.8778499226042,65.406096532764,64.138436231797,52.141734396203,46.2507768343742,33.4519220967464,25.4331937984191,24.6852036906688,23.2996394521314,23.2294801008181,23.2294801008181,23.2294801008181,23.2294801008181
124,"CAN","Canada",42.1675421905998,42.1675421905998,42.1675421905998,42.1675421905998,42.1675421905998,42.1675421905998,42.1675421905998,42.1675421905998,42.1675421905998,42.1675421905998,42.1675421905998,42.1675421905998,44.7422952607925,47.2016700259618,52.1693674851734,60.8748750394691,69.2453571754061,71.1918678185642,68.6278095683943,59.3552840980642,50.8655468280752,45.8713624549247,42.0689500172126,38.9973203299065,37.6604518170244,37.6604518170244,37.6604518170244,37.6604518170244
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
140,"CAF","Central African Republic",27.1790074311928,27.1790074311928,27.1790074311928,27.1790074311928,27.1790074311928,22.6538981403099,29.1299024078739,42.419804316877,41.6573782919833,48.8658716760317,55.3884181061055,54.5603677160556,50.6521539127272,39.8665070872485,47.70526245449,40.2992755384876,39.1688214650651,54.7666343446108,50.7745858941848,55.402110221523,55.9140066108325,51.7620461701669,48.7915775255332,40.6921376732467,50.3059147996314,50.3059147996314,50.3059147996314,50.3059147996314
148,"TCD","Chad",0,0,0,0,0,0,0,1.4928769225597,4.25347155455481,4.4380881213488,4.5940765442131,2.9921832153854,2.14803846346021,3.0193128148106,3.33592464624721,0.354059477181096,3.061209772623,4.3700368764254,6.14767899446669,4.9430150133777,1.34722058687761,0,0,0,0,0,0,0
152,"CHL","Chile",26.5526757273257,26.5526757273257,26.5526757273257,26.5526757273257,26.5526757273257,27.8727942315792,30.9169408358993,34.2436269456787,38.7189575956015,42.0304894401637,43.9737571321057,44.8427939354905,45.9680329173024,46.8569676152688,46.9679387407457,51.1084643834363,51.9455990503705,51.4320605917257,54.7713684297337,58.2918269766664,65.48529753586,70.3701047787415,70.703519852752,63.0059558462944,56.1557737771333,56.1557737771333,56.1557737771333,56.1557737771333
156,"CHN","China",39.2664515357983,39.2664515357983,39.2664515357983,39.2664515357983,39.2664515357983,39.1304862940282,39.0981313084197,40.1540030365621,39.555171924358,36.3903249112367,28.6105557867217,20.4199900800301,15.80067091393,14.034927315264,14.3974809192988,15.3697486710544,16.0119929470821,20.258217593829,24.5821573674123,27.7678992864913,30.028226984516,33.3856159320788,36.9588236808149,41.2233007098386,42.9551235662386,42.9551235662386,42.9551235662386,42.9551235662386
170,"COL","Colombia",35.9910242765124,35.9910242765124,35.9910242765124,35.9910242765124,35.9910242765124,36.7159400332817,38.0933069073601,39.0785812300003,40.179254025672,41.0764435491157,41.1304347354968,41.6586574082293,40.2628133834452,37.7732677983988,38.1249219872255,36.841734884401,37.5106567827123,40.3674357877768,42.6990638578141,45.2632982657659,47.9763704889215,50.5283101082015,51.2287332712583,49.1980046836846,43.9745175223607,43.9745175223607,43.9745175223607,43.9745175223607
174,"COM","Comoros",26.9415857566612,26.9415857566612,26.9415857566612,26.9415857566612,26.9415857566612,29.2186733609383,30.0032892478765,30.3633619607182,31.5059584526993,32.9276837129357,33.2813730728802,31.2076724080667,32.887248891319,29.9577446210632,26.9168582887493,26.057731905007,22.0161055864571,17.9582397005151,16.2043036623593,15.7767657706693,16.2030859829616,15.0653784199619,18.3450117553154,19.0797391804227,21.3317555629795,21.3317555629795,21.3317555629795,21.3317555629795
184,"COK","Cook Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
188,"CRI","Costa Rica",86.1407207621719,86.1407207621719,86.1407207621719,86.1407207621719,86.1407207621719,87.437053258936,84.5101230548716,78.3119208891157,66.6803948616718,58.9181208854886,63.5808660436575,69.9939591759362,67.8344209235809,55.6341161862845,49.0545016253947,44.1938753700892,38.6998014692536,35.0077837046496,31.069184266177,27.8405877054499,29.1169224759049,32.4184231763999,33.3236950959927,32.7771503785061,32.8012046595169,32.8012046595169,32.8012046595169,32.8012046595169
384,"CIV","Cote d'Ivoire",16.6989275800955,16.6989275800955,16.6989275800955,16.6989275800955,16.6989275800955,17.5011229026635,17.7562627119207,17.1067835388703,20.468187017737,24.3267561934603,22.5715039284986,21.7162451330288,21.3464119463788,24.4477347463931,29.5113903469981,33.4109197233492,32.8984525032127,29.8066169887116,26.5872899383827,29.4997567810906,26.8183316570545,21.4218463230224,20.6092120446914,23.133532165916,28.7148424534138,28.7148424534138,28.7148424534138,28.7148424534138
191,"HRV","Croatia",38.3495926982397,38.3495926982397,38.3495926982397,38.3495926982397,38.3495926982397,38.3495926982397,38.3495926982397,38.3495926982397,38.3495926982397,38.3495926982397,32.0983808407413,24.9990287537642,18.8705499556753,19.9513749972821,20.5922233176623,26.8178961827774,31.8645702955469,42.3733871247502,50.482501542085,51.4250169636389,52.4517372568205,54.4837718345685,59.5531326183413,67.9503154575976,70.0552011719766,70.0552011719766,70.0552011719766,70.0552011719766
