"code","iso","country","BCA.ind.1995","BCA.ind.1996","BCA.ind.1997","BCA.ind.1998","BCA.ind.1999","BCA.ind.2000","BCA.ind.2001","BCA.ind.2002","BCA.ind.2003","BCA.ind.2004","BCA.ind.2005","BCA.ind.2006","BCA.ind.2007","BCA.ind.2008","BCA.ind.2009","BCA.ind.2010","BCA.ind.2011","BCA.ind.2012","BCA.ind.2013","BCA.ind.2014","BCA.ind.2015","BCA.ind.2016","BCA.ind.2017","BCA.ind.2018","BCA.ind.2019","BCA.ind.2020","BCA.ind.2021","BCA.ind.2022"
705,"SVN","Slovenia",0.156117626889284,0.156117626889284,0.156117626889284,0.156117626889284,0.156117626889284,0,0.867194070100922,30.8643939726017,54.7971051297211,78.7754725761471,100,100,99.58075444349,75.9825366635457,65.4778699368166,60.7026887816748,53.9619676173273,62.7213895350893,74.9436978840321,90.4014408153304,100,100,100,100,100,100,100,100
90,"SLB","Solomon Islands",47.9049403657638,47.9049403657638,47.9049403657638,47.9049403657638,47.9049403657638,45.1078486593278,43.7781265013128,47.7424167979679,58.3478051591495,64.9503467760011,76.5527373622621,77.3348503662329,82.3716069598158,85.9459209319412,84.5861408465409,79.205805636934,79.3136742570424,82.5268787320441,91.1545605825126,98.8580147355759,100,100,100,100,100,100,100,100
706,"SOM","Somalia",59.992965090485,59.992965090485,59.992965090485,59.992965090485,59.992965090485,50.7233411300047,44.0633455853127,44.5154807294286,52.2381015367868,49.1467857867581,42.1196897550345,36.2308030708024,35.6623362656011,36.6295977490361,37.8084617545045,40.3828394405937,42.4483054741752,46.9388384294311,52.5814233174639,58.6987023989551,62.5205714962799,64.0857002815398,63.4114034483195,62.819308026444,62.4314100673509,62.4314100673509,62.4314100673509,62.4314100673509
710,"ZAF","South Africa",74.075278858172,74.075278858172,74.075278858172,74.075278858172,74.075278858172,91.3564922970745,100,100,97.1114833504632,77.0071845256806,63.0845516184609,47.5550223452994,21.7934234383181,1.04740639502226,0,19.6130983374017,37.8843210155243,43.2834585612776,46.5166610085223,49.9628272454827,58.0918616727783,70.7298701873764,54.9363696668549,36.311658417882,22.6409213186822,22.6409213186822,22.6409213186822,22.6409213186822
410,"KOR","South Korea",100,100,100,100,100,100,100,100,100,100,100,90.802129206097,72.1638492056487,79.3330337402358,96.0913132218789,100,100,100,100,100,100,100,100,100,100,100,100,100
728,"SSD","South Sudan",64.9240279774676,64.9240279774676,64.9240279774676,64.9240279774676,64.9240279774676,64.9240279774676,49.8483930696836,37.2658081782231,28.6254918256338,23.5458409643109,20.9136660730544,19.3285733523883,18.6562373487449,17.8798416924829,16.7670708627273,15.6476828189831,14.3967639033641,7.36636451311921,2.55688374285644,0,0,1.11354931704658,6.14641093748837,14.5024529161288,25.3432146611516,25.3432146611516,25.3432146611516,25.3432146611516
724,"ESP","Spain",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
144,"LKA","Sri Lanka",43.521339389302,43.521339389302,43.521339389302,43.521339389302,43.521339389302,43.3797412816237,44.6259354634009,45.4692165988822,46.5062840745999,50.2142715615037,54.0867594334714,54.1767360980734,54.9900149014125,58.17386749327,59.8477155707502,56.6966276080701,55.0689781161717,49.3559571984639,53.7168108689593,57.6090264502843,59.8189720086912,66.2255593927521,71.9777040447292,80.0013035469556,91.2394126078291,91.2394126078291,91.2394126078291,91.2394126078291
275,"PSE","State of Palestine",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
729,"SDN","Sudan",36.6202733672083,36.6202733672083,36.6202733672083,36.6202733672083,36.6202733672083,31.05569514207,28.5601557542297,27.3386935841438,32.9726348703371,27.0146938571685,20.7698577012098,8.55781745943962,3.47199958014431,2.08744038296885,6.38395351301894,14.9978985228141,25.1813831693128,38.1998934744914,51.5752283326615,61.5650914229323,65.8556555447945,58.2992152515711,56.4933159276948,53.7684906879937,52.5398838354566,52.5398838354566,52.5398838354566,52.5398838354566
