"code","iso","country","TBN.ind.1995","TBN.ind.1996","TBN.ind.1997","TBN.ind.1998","TBN.ind.1999","TBN.ind.2000","TBN.ind.2001","TBN.ind.2002","TBN.ind.2003","TBN.ind.2004","TBN.ind.2005","TBN.ind.2006","TBN.ind.2007","TBN.ind.2008","TBN.ind.2009","TBN.ind.2010","TBN.ind.2011","TBN.ind.2012","TBN.ind.2013","TBN.ind.2014","TBN.ind.2015","TBN.ind.2016","TBN.ind.2017","TBN.ind.2018","TBN.ind.2019","TBN.ind.2020","TBN.ind.2021","TBN.ind.2022"
624,"GNB","Guinea-Bissau",80.2287378654812,80.2287378654812,80.2287378654812,80.2287378654812,80.2287378654812,80.2287378654812,91.2276008077282,91.2276008077282,91.2276008077282,91.2276008077282,91.2276008077282,91.2276008076382,91.2276008076382,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
328,"GUY","Guyana",1.71133552385662,1.71133552385662,12.1303942831556,12.1303942831556,12.1303942831556,12.1303942831556,12.1303942831556,12.1303942831556,12.1303942831556,12.1303942831556,12.1303942831556,12.1303942831556,12.1303942831556,29.381114689002,29.381114689002,29.381114689002,29.381114689002,48.9055756121356,48.9055756121356,48.9055756121356,48.9055756121356,48.9055756121356,48.9055756121356,48.9055756121356,48.9055756121356,48.9055756121356,48.9055756121356,48.9055756121356
332,"HTI","Haiti",12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.2123072880565,12.9674678739308,22.3350389703994,27.3915651011049,27.3915651011049,38.3482254624463,38.3482254624463,38.3482254624463,38.3482254624463,43.5529699051341
336,"VAT","Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"HND","Honduras",64.6354493342994,64.6354493343247,64.6354493343247,64.6354493343247,64.6354493343247,68.5272254647659,68.5272254648871,68.5272254648871,68.5272254648871,68.5272254648871,68.5272254648871,69.6155196475165,71.7534206858847,71.7534206858847,71.7534206858847,71.7534206858847,72.2022689587653,72.2022689587653,75.9216362756441,76.21019660629,76.21019660629,76.2228880426471,77.4524030926729,77.4539093293212,77.4685831221382,77.4730016885694,77.4730016885694,77.4730016885694
344,"HKG","Hong Kong",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
348,"HUN","Hungary",40.0447431094043,40.0447431094043,43.1015376765686,52.9414965908048,54.3065019504645,54.7970788499486,54.8055369479879,54.8056233142686,57.5577229750987,57.5579895461307,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
352,"ISL","Iceland",22.8653589105198,22.8653589105198,22.8999758850542,22.8999758850542,22.9000850280369,22.9157217965215,22.9166764137042,24.0058306982493,24.0079591284989,24.4157996125075,25.8830213682949,28.4413595949935,28.4459375557401,28.6040562666765,28.6040562666765,76.8142249334953,76.8142249334953,76.9830296686176,77.0524811620471,77.8282304978776,77.8331357950941,77.8331357950941,78.3127563919724,78.3127563919724,78.3127563919724,78.3127563919724,80.8541874963571,80.95793392434
356,"IND","India",0.344939437912744,0.344939437912744,0.344939437912744,0.344939437912744,0.344939437912744,0.344939437912744,0.344939437912744,0.344939437912744,1.07476830925499,1.07476830925499,1.07476830925499,1.12826970727895,1.12826970727895,1.12826970727895,1.12826970727895,1.12826970727895,1.12826970727895,1.12826970727895,1.15069902450531,1.15069902450531,1.15069902450531,1.15069902450531,1.15069902450531,1.15069902450531,1.15069902450531,1.15069902450531,1.15069902450531,1.15069902450531
360,"IDN","Indonesia",62.4927402727012,62.4927402727012,62.4927402727012,65.0562609418559,65.0587727729818,65.0713741502324,65.2536705471476,65.2536882104371,65.5847811199188,65.5854954323318,65.5876882997382,65.5876882997382,66.0192237836806,66.0192237836771,66.0192237836835,66.0251799614676,66.0251799614682,66.2069930435282,66.2070107436771,66.2074764528482,66.2074764528565,66.2074764528906,66.2074764528906,66.20747645289,66.2074764528918,66.2074764528918,66.2074764528918,66.2074764528918
