"code","iso","country","SHI.ind.1995","SHI.ind.1996","SHI.ind.1997","SHI.ind.1998","SHI.ind.1999","SHI.ind.2000","SHI.ind.2001","SHI.ind.2002","SHI.ind.2003","SHI.ind.2004","SHI.ind.2005","SHI.ind.2006","SHI.ind.2007","SHI.ind.2008","SHI.ind.2009","SHI.ind.2010","SHI.ind.2011","SHI.ind.2012","SHI.ind.2013","SHI.ind.2014","SHI.ind.2015","SHI.ind.2016","SHI.ind.2017","SHI.ind.2018","SHI.ind.2019","SHI.ind.2020","SHI.ind.2021","SHI.ind.2022"
36,"AUS","Australia",100,100,100,100,100,100,100,98.6627043090638,97.1768202080238,96.4338781575038,96.1367013372956,95.3937592867756,94.3536404160476,93.7592867756315,92.8677563150074,91.8276374442794,90.0445765230312,89.4502228826153,88.261515601783,87.3699851411591,87.3699851411591,87.3699851411591,87.3699851411591,87.3699851411591,87.3699851411591,87.3699851411591,87.3699851411591,87.3699851411591
40,"AUT","Austria",100,100,100,100,100,100,100,97.7711738484397,95.6909361069836,91.3818722139673,91.0846953937594,90.9361069836553,90.6389301634473,89.8959881129271,89.4502228826153,88.4101040118871,87.667161961367,87.0728083209509,86.478454680535,84.8439821693909,84.8439821693909,84.8439821693909,84.8439821693909,84.8439821693909,84.8439821693909,84.8439821693909,84.8439821693909,84.8439821693909
31,"AZE","Azerbaijan",100,100,100,100,100,100,100,99.702823179792,99.5542347696879,99.25705794948,98.959881129272,98.6627043090638,98.6627043090638,98.51411589896,98.2169390787518,98.0683506686479,97.9197622585438,97.6225854383358,97.0282317979197,95.9881129271917,95.9881129271917,95.9881129271917,95.9881129271917,95.9881129271917,95.9881129271917,95.9881129271917,95.9881129271917,95.9881129271917
44,"BHS","Bahamas",100,100,100,100,100,100,100,99.8514115898959,99.8514115898959,99.5542347696879,99.702823179792,99.5542347696879,99.5542347696879,99.5542347696879,99.5542347696879,99.5542347696879,99.5542347696879,99.5542347696879,99.5542347696879,99.4056463595839,99.4056463595839,99.4056463595839,99.4056463595839,99.4056463595839,99.4056463595839,99.4056463595839,99.4056463595839,99.4056463595839
48,"BHR","Bahrain",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
50,"BGD","Bangladesh",100,100,100,100,100,100,100,99.702823179792,99.5542347696879,99.1084695393759,98.959881129272,98.8112927191679,98.51411589896,98.2169390787518,97.7711738484397,97.4739970282318,96.5824665676077,95.8395245170876,94.5022288261515,92.7191679049035,92.7191679049035,92.7191679049035,92.7191679049035,92.7191679049035,92.7191679049035,92.7191679049035,92.7191679049035,92.7191679049035
52,"BRB","Barbados",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
112,"BLR","Belarus",100,100,100,100,100,100,100,99.1084695393759,98.0683506686479,96.7310549777118,95.9881129271917,95.3937592867756,94.6508172362556,92.8677563150074,91.9762258543833,91.9762258543833,91.9762258543833,91.8276374442794,91.6790490341753,91.3818722139673,91.3818722139673,91.3818722139673,91.3818722139673,91.3818722139673,91.3818722139673,91.3818722139673,91.3818722139673,91.3818722139673
56,"BEL","Belgium",100,100,100,100,100,100,100,92.1248142644874,84.2496285289747,78.4546805349183,78.3060921248144,77.7117384843982,76.6716196136703,76.3744427934621,76.0772659732541,75.482912332838,75.0371471025259,74.5913818722141,74.5913818722141,74.5913818722141,74.5913818722141,74.5913818722141,74.5913818722141,74.5913818722141,74.5913818722141,74.5913818722141,74.5913818722141,74.5913818722141
84,"BLZ","Belize",100,100,100,100,100,100,100,95.5423476968797,93.1649331352155,90.0445765230312,86.3298662704309,84.6953937592868,79.9405646359585,75.7800891530461,71.4710252600297,66.8647845468053,56.0178306092126,50.37147102526,42.6448736998515,36.2555720653788,36.2555720653788,36.2555720653788,36.2555720653788,36.2555720653788,36.2555720653788,36.2555720653788,36.2555720653788,36.2555720653788
