"code","iso","country","BHV.ind.1995","BHV.ind.1996","BHV.ind.1997","BHV.ind.1998","BHV.ind.1999","BHV.ind.2000","BHV.ind.2001","BHV.ind.2002","BHV.ind.2003","BHV.ind.2004","BHV.ind.2005","BHV.ind.2006","BHV.ind.2007","BHV.ind.2008","BHV.ind.2009","BHV.ind.2010","BHV.ind.2011","BHV.ind.2012","BHV.ind.2013","BHV.ind.2014","BHV.ind.2015","BHV.ind.2016","BHV.ind.2017","BHV.ind.2018","BHV.ind.2019","BHV.ind.2020","BHV.ind.2021","BHV.ind.2022"
208,"DNK","Denmark",34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477,34.4477
262,"DJI","Djibouti",37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252,37.6252
212,"DMA","Dominica",48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281
214,"DOM","Dominican Republic",38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588,38.4588
218,"ECU","Ecuador",49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583,49.5583
818,"EGY","Egypt",63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737,63.4737
222,"SLV","El Salvador",36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531,36.7531
226,"GNQ","Equatorial Guinea",61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246,61.0246
232,"ERI","Eritrea",34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046,34.6046
233,"EST","Estonia",49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008,49.008
748,"SWZ","Eswatini",40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28
231,"ETH","Ethiopia",39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712,39.5712
