"code","iso","country","GRL.ind.1995","GRL.ind.1996","GRL.ind.1997","GRL.ind.1998","GRL.ind.1999","GRL.ind.2000","GRL.ind.2001","GRL.ind.2002","GRL.ind.2003","GRL.ind.2004","GRL.ind.2005","GRL.ind.2006","GRL.ind.2007","GRL.ind.2008","GRL.ind.2009","GRL.ind.2010","GRL.ind.2011","GRL.ind.2012","GRL.ind.2013","GRL.ind.2014","GRL.ind.2015","GRL.ind.2016","GRL.ind.2017","GRL.ind.2018","GRL.ind.2019","GRL.ind.2020","GRL.ind.2021","GRL.ind.2022"
417,"KGZ","Kyrgyzstan",42.4020479553688,42.4020479553688,42.4020479553688,40.319529114478,32.7112878314563,32.7526149363945,35.6570490385159,35.0770314275629,35.5129301938592,45.2891332830776,45.2891332830776,47.6272357495348,46.0423333571739,47.8064383234057,50.5829084335235,50.5829084335235,54.1316735707504,77.6475137284456,99.9999999999997,91.7234862696956,91.1355863666776,51.8762421688278,50.3396794120576,46.2857755720147,40.3933081393925,40.0974029064734,40.0974029064734,40.0974029064734
418,"LAO","Laos",25.4678136702717,25.4678136702717,25.4678136702717,25.4678136702717,25.4678136702717,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,70.925173394771,66.9504557538044,66.9504557538044,66.9504557538044,66.9504557538044,77.5331134998345,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,33.4602562406271,33.4602562406271,26.9057083368273,26.4234261325182,26.4234261325182,32.8328569697029,32.3530956348831,32.3530956348831,32.3530956348831
428,"LVA","Latvia",95.2210334619781,95.2210334619781,95.2210334619781,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,58.1388861708792,37.0779009666661,37.0779009666661,29.3574211785502,29.3574211785502,30.0088973876603,35.9972894768675,35.9972894768675,35.9972894768675,35.9972894768675
422,"LBN","Lebanon",99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997
426,"LSO","Lesotho",96.8974219054054,96.8974219054054,96.8974219054054,60.8321885594961,47.4389969620253,28.1729304326361,25.7769927366846,24.4787551395445,23.4630703338843,23.2865710167019,31.0336166572005,35.3862990982685,39.655547888671,47.5685538931884,54.4450138556667,53.7714987698757,53.7714987698757,52.6357785399381,50.5039058792506,47.7662935920957,48.13800287163,48.13800287163,46.3709690435224,38.7345003604052,32.3399938706936,30.1825980809665,30.1825980809665,30.1825980809665
430,"LBR","Liberia",8.98966415933862,8.98966415933862,8.98966415933862,10.2853092516768,16.7927567490596,18.1748405368818,21.6582199831718,23.9676876524622,19.7709779156579,19.7709779156579,14.4835230694946,15.5740716566424,14.4821538594891,15.5729916658541,15.5729916658541,23.9646518177785,31.1321138671086,31.1376838739963,31.1367762930913,23.9724776971184,23.9724776971184,23.9724776971184,23.9725323882116,26.9513082081042,38.3009663543116,0.937976567762945,0.937976567762945,0.937976567762945
434,"LBY","Libya",99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,21.6594899512106,21.6594899512106,21.4160374008492,20.4953832816171,20.4953832816171,43.6571851854002,43.6571851854002,45.9557705070052,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999462180225,99.9999462180225,99.9999462180225
438,"LIE","Liechtenstein",43.7890523895917,43.7890523895917,43.7890523895917,39.6056381924467,39.6056381924467,43.7944332883697,50.92078290385,30.8541250528475,23.6858382622175,23.6858382622175,23.6858382622175,23.6858382622175,29.4769271007097,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997
440,"LTU","Lithuania",99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,55.5189109966675,55.5189109966675,55.5189109966675,55.5189109966675,55.5189109966675,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,80.3134119706324,54.8173867847236,54.8173867847236,54.8173867847236,54.8173867847236,55.5968020898342,99.9999999999997,87.1584947048647,87.1584947048647,87.1584947048647
442,"LUX","Luxembourg",63.676650869536,63.676650869536,63.676650869536,67.0224384049426,75.7898365943312,75.7898365943312,98.3496302254663,65.1730659390427,65.1730659390427,54.1150063607601,54.1150063607601,54.1150063607601,58.2900559911412,58.2900559911412,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,68.6917085890358,64.8443833098272,62.0781266853201,45.903516410987,43.2194307842576,43.2194307842576,43.2194307842576
