"code","iso","country","TBG.ind.1995","TBG.ind.1996","TBG.ind.1997","TBG.ind.1998","TBG.ind.1999","TBG.ind.2000","TBG.ind.2001","TBG.ind.2002","TBG.ind.2003","TBG.ind.2004","TBG.ind.2005","TBG.ind.2006","TBG.ind.2007","TBG.ind.2008","TBG.ind.2009","TBG.ind.2010","TBG.ind.2011","TBG.ind.2012","TBG.ind.2013","TBG.ind.2014","TBG.ind.2015","TBG.ind.2016","TBG.ind.2017","TBG.ind.2018","TBG.ind.2019","TBG.ind.2020","TBG.ind.2021","TBG.ind.2022"
70,"BIH","Bosnia and Herzegovina",1.90697585169942,9.22628803370171,9.22628803370147,9.22628803370335,9.22628803370294,9.22628803370318,9.22628803370218,9.22628803370229,9.35568849362876,9.40053097603035,9.40053097602953,9.60138493172223,9.66675992753271,9.93768412724565,24.2616691654803,25.0374724205131,25.0374724205142,25.5872486216201,25.5942637943529,25.5981715692039,25.6342114669448,25.6377097444345,25.6409262834974,26.2198247610182,26.2679596769363,26.4919453266019,32.2198021221249,32.2198021221258
72,"BWA","Botswana",97.3306936501794,97.3306936501788,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
76,"BRA","Brazil",50.0653089970366,51.9413651197991,53.6845565654533,58.7663226533941,65.6897723376382,69.6346757195165,71.1751198815494,72.7621945512571,75.3913226706724,75.4937942793718,76.5906586708929,76.90683254876,78.6933119896088,78.9517361486665,79.1533324812223,79.4474697470659,79.5269972431118,79.5330609347,79.5402602122523,79.5419666953776,79.5572905269406,79.59253783564,79.595292087433,79.6015040167724,79.95056344897,79.9506729742694,79.9506729742688,79.9506729742676
92,"VGB","British Virgin Islands",9.76965454628088,12.5403998314802,12.5403998314802,12.5403998314802,13.2693074915115,54.3478326467873,54.3478326467938,54.3478326467914,54.3478326467957,54.7554927368195,54.7554927368249,54.7554927368253,54.7554927368257,54.7554927368358,54.890605365443,54.8906053654429,54.890605365443,54.890605365379,54.8906053653767,54.8906053653766,54.8906053653773,54.8906053653761,54.8906053653759,54.8906053653744,54.8906053653742,54.8906053653751,54.8906053653749,54.8906053653749
96,"BRN","Brunei Darussalam",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,"BGR","Bulgaria",21.5979676250061,27.0821087569349,27.1010542865536,27.120841789744,27.1208417897441,27.1294344542464,28.2888840189585,28.8389978147198,86.8864353407141,86.9978062913147,87.0065616316029,87.0805468107953,87.1425509676035,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
854,"BFA","Burkina Faso",75.1130878915635,75.1130878915635,75.1130878915635,75.1130878915635,75.1130878915635,75.1130878915635,77.2144867245112,79.8004768297859,79.8004768297859,79.8004768297859,79.8004768297859,79.8004768297859,79.8004768297859,80.4197410352071,80.5555866134135,95.3102017730053,95.3102017730053,95.3102017730053,95.3102017730053,95.3102017730053,95.3102017730053,95.3102017730959,95.8183588359024,95.9666612815624,95.9666612815624,95.9798440513347,95.9798440513347,95.9798440513347
108,"BDI","Burundi",33.4515561981831,33.451556198182,33.451556198181,33.451556198181,33.4515561981821,33.4515561981821,35.1933910124883,35.1933910125015,35.9979952042267,35.9979952042271,35.9979952042224,35.9979952042228,35.9979952042228,35.9979952042178,35.9979952042202,35.9979952042211,35.9979952042212,36.0358991603925,36.0358991603956,46.7037673375549,46.7037673375551,46.7037673375558,46.7037673375563,46.7037673375574,46.7037673375582,46.7037673375578,46.7037673375578,46.7037673375577
132,"CPV","Cabo Verde",14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545
116,"KHM","Cambodia",65.4594061838741,65.4594061839018,66.1003356299312,66.1003356299294,66.1003356299394,66.1003356299424,66.1003356298829,66.1003356298924,66.1003356298435,66.1003356298706,66.1003356298476,66.10033562984,66.1003356298429,66.1003356298423,66.1003356298853,66.1003356298876,66.1003356298976,66.1003356299106,66.1003356299394,66.1003356299482,66.1003356299635,66.1003356299653,100,100,100,100,100,100
