"code","iso","country","FTD.ind.1995","FTD.ind.1996","FTD.ind.1997","FTD.ind.1998","FTD.ind.1999","FTD.ind.2000","FTD.ind.2001","FTD.ind.2002","FTD.ind.2003","FTD.ind.2004","FTD.ind.2005","FTD.ind.2006","FTD.ind.2007","FTD.ind.2008","FTD.ind.2009","FTD.ind.2010","FTD.ind.2011","FTD.ind.2012","FTD.ind.2013","FTD.ind.2014","FTD.ind.2015","FTD.ind.2016","FTD.ind.2017","FTD.ind.2018","FTD.ind.2019","FTD.ind.2020","FTD.ind.2021","FTD.ind.2022"
148,"TCD","Chad",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
152,"CHL","Chile",25.1688058492424,25.5425513657299,24.8824645509293,22.9184044835569,26.2547817110565,26.4497830547153,26.6395327978765,27.6309431050331,28.4315797404928,29.2487957600022,29.7295795599806,29.172496614564,28.4250879841914,29.2221559600113,29.3661628522881,29.1224913929674,30.5410563592497,27.4112507914021,25.9684494121133,27.1394429311057,28.2453610285565,27.5236618650486,37.9354186084856,38.0715677818555,38.0715677818555,38.0715677818555,38.0715677818555,38.0715677818555
156,"CHN","China",4.17181735722781,4.30377807134498,4.86909879505642,4.67071129621203,4.50642927449657,4.55329217398976,4.68655645918703,4.78446056339422,5.17840035206827,5.04464807699435,5.04527589018146,4.93692528112226,5.10000150281684,5.1514201117821,5.0414508358421,5.05997222818114,4.99575412383777,5.3185623615158,5.23435794221695,4.3123419865444,4.09867492882688,3.8579495092881,3.82677171127732,3.9071951468932,3.9071951468932,3.9071951468932,3.9071951468932,3.9071951468932
170,"COL","Colombia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
174,"COM","Comoros",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
184,"COK","Cook Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
188,"CRI","Costa Rica",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
384,"CIV","Cote d'Ivoire",8.06780025825441,7.84554580632006,8.32490997670074,8.8199444642561,9.46013999892867,9.99954908793515,10.2213474070069,10.0945052779471,13.948509203087,14.0457683689665,10.0398373480483,14.6486408352039,14.6645481501068,15.4898110500384,14.8843723792724,14.9346267876684,26.5247604297879,21.3931164645988,21.3001184776371,19.199133525542,14.7295182292415,20.4237254769291,21.8912975285656,12.5147323810708,12.5147323810708,12.5147323810708,12.5147323810708,12.5147323810708
191,"HRV","Croatia",6.31649750543049,6.99496793842337,7.46935672986694,7.65604486846016,8.5825736254493,8.96482378701347,8.81756653812118,9.83702563206508,9.14223132751144,8.75464836642772,8.32354664077602,7.53335284335049,7.78180009271362,7.74838635234966,8.60089342680357,8.65071191641447,10.422303589122,10.1195453488357,10.3886583997744,10.0083622094545,10.5668103589603,10.7680098396072,11.5400045559351,11.6998339290986,11.6998339290986,11.6998339290986,11.6998339290986,11.6998339290986
192,"CUB","Cuba",7.95627897182747,6.7760583758198,9.49679589557526,12.9719180077539,15.0893139956468,29.8100076189783,28.4702902545239,27.1305728900694,25.790855525615,24.4511381611605,23.1114207967061,21.7717034322516,20.4319860677972,19.0922687033427,17.7525513388883,16.4128339744338,15.0731166099794,16.9733763379037,16.9733763379037,16.9733763379037,16.9733763379037,16.9733763379037,16.9733763379037,16.9733763379037,16.9733763379037,16.9733763379037,16.9733763379037,16.9733763379037
531,"CUW","Curacao",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
196,"CYP","Cyprus",19.0385355749273,21.7094584021785,20.570740882721,28.9186900132248,29.1287638725544,31.1089530573876,30.4602645700383,33.6376349857347,32.1564599118725,34.8153899696108,32.5759528019226,29.5743174366302,31.8150647091294,32.8588665263297,34.0815795159457,34.8571191990554,25.6427426846867,19.6682537865305,10.5369105285109,10.579998377527,9.45756356094486,9.98186976225089,9.23434976481825,10.2191729242427,10.2191729242427,10.2191729242427,10.2191729242427,10.2191729242427
203,"CZE","Czech Republic",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
180,"COD","Dem. Rep. Congo",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
208,"DNK","Denmark",3.63351936331556,4.19465956353783,3.77933651996776,4.88051407815011,5.26849582788941,5.2334193168184,5.19468688370543,5.08138491107822,7.86227320320663,7.78326681239011,9.22475564287448,7.63003438333955,8.69688657775899,6.97161962805555,5.97527437357645,5.90068016271283,6.82410603164598,7.96546456069458,7.71453902547471,9.09335151353697,9.52327676148585,10.7814684719668,7.8276242965817,9.5272571578148,9.5272571578148,9.5272571578148,9.5272571578148,9.5272571578148
262,"DJI","Djibouti",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
212,"DMA","Dominica",0.521041187685469,0.521041187685469,0.521041187685469,0.521041187685469,0.521041187685469,0.521041187685469,0.521041187685469,0.521041187685469,0.957590680929997,1.80715490469208,0.841015532551239,0.52062824312155,0.387055639845059,0.357978410442868,0.312519015692075,0.272126273390555,0.286699995360436,0.262782242507441,0.282203887795276,0.840413823401406,1.12616759474301,4.47357039931522,4.79872182768642,7.09196127030025,7.09196127030025,7.09196127030025,7.09196127030025,7.09196127030025
