"code","iso","country","MPA.ind.1995","MPA.ind.1996","MPA.ind.1997","MPA.ind.1998","MPA.ind.1999","MPA.ind.2000","MPA.ind.2001","MPA.ind.2002","MPA.ind.2003","MPA.ind.2004","MPA.ind.2005","MPA.ind.2006","MPA.ind.2007","MPA.ind.2008","MPA.ind.2009","MPA.ind.2010","MPA.ind.2011","MPA.ind.2012","MPA.ind.2013","MPA.ind.2014","MPA.ind.2015","MPA.ind.2016","MPA.ind.2017","MPA.ind.2018","MPA.ind.2019","MPA.ind.2020","MPA.ind.2021","MPA.ind.2022"
296,"KIR","Kiribati",0.0471684033297179,0.0471684033297179,0.0471684033297179,0.0471684033297179,0.0471684033297179,0.158932283387558,0.158932283387558,0.158932283387558,0.158932283387558,0.158932283387558,0.158932283387558,0.158932283387558,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
689,"XKX","Kosovo",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
414,"KWT","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18429581317824,1.18429581317824,1.18429581317824,1.18429581317824,1.18429581317824,1.18429581317824
417,"KGZ","Kyrgyzstan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
418,"LAO","Laos",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
428,"LVA","Latvia",0.00744678764703672,0.00744678764703672,0.00744678764703672,0.00744678764703672,0.00744678764703672,0.00744678764703672,0.00744678764703672,0.00821265968795069,13.9415593889501,13.9415593889501,13.9415593889501,13.9415593889501,13.9415593889501,13.9415593889501,74.6554536568809,74.6554536568809,100,100,100,100,100,100,100,100,100,100,100,100
422,"LBN","Lebanon",0.192349323491118,0.192349323491118,0.192349323491118,0.192349323491118,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.02374904662325,2.15479750513272,2.15479750513272
426,"LSO","Lesotho",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
430,"LBR","Liberia",0,0,0,0,0,0,0,0,0,0.750137905957296,0.750137905957296,0.750137905957296,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992,0.991268825112992
434,"LBY","Libya",6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911,6.23672009540911
438,"LIE","Liechtenstein",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
440,"LTU","Lithuania",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
442,"LUX","Luxembourg",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
