iso,country,PFL.raw.2006,PFL.raw.2007,PFL.raw.2008,PFL.raw.2009,PFL.raw.2010,PFL.raw.2011,PFL.raw.2012,PFL.raw.2013,PFL.raw.2014,PFL.raw.2015,PFL.raw.2016,PFL.raw.2017,PFL.raw.2018,PFL.raw.2019,PFL.raw.2020,PFL.raw.2021,PFL.raw.2022
GTM,Guatemala,0.0084686214605217,0.0108489971319812,0.0112688727476576,0.0128373608404288,0.0120137643206915,0.0119267274908013,0.0104526850482963,0.0096894974719155,0.0081958435862869,0.0077291711459791,0.0112916160403031,0.0108462045897966,0.0107269464472595,0.0116574096644954,0.0134171548734809,0.009695832773184,0.0089357455225138
GUY,Guyana,0.0001965465380771,0.0002025792246886,0.000227569500208,0.0002541523453999,0.0002897379131493,0.0003138758569038,0.0003785952391378,0.0003570178974903,0.0003901053019582,0.0004110054012479,0.0005365745966834,0.0005893455955886,0.0006253853896859,0.0006852274238792,0.0007118320653499,0.0006008022675519,0.0005357903631263
HND,Honduras,0.0048032301097966,0.0052977727427622,0.0058395441617102,0.0072408808842323,0.0079152451938533,0.0084880011307626,0.0082413156140392,0.0084543143929381,0.0084622920276395,0.0079003784508547,0.0102910647417786,0.0128669514566063,0.0143250237389249,0.0153152540951162,0.0177636731825724,0.0168871294008891,0.0161826362593829
IND,India,0.0014138461288922,0.0015216540556073,0.0017151835942438,0.0016748525926084,0.0016004879498131,0.0016232888122945,0.0016546309880027,0.0015308628518034,0.0016256952476867,0.0018149088533098,0.0021025628660981,0.0023138248051884,0.0024102616980504,0.0023200505639865,0.0023163726815976,0.0021416447099761,0.001989971275678
IDN,Indonesia,0.0041478347077007,0.0046897213196584,0.0051606842606287,0.0055969148951368,0.0057302728744157,0.006040432246224,0.0067427925292606,0.0067504326727389,0.0068633285287088,0.0071311636155676,0.0078020105519787,0.006774115014117,0.0064904278993767,0.0056098642286403,0.0047646096380543,0.0032177838132553,0.0029124648892304
LAO,Laos,0.0025881943173698,0.0033385197660219,0.0034456121115941,0.0041778140539215,0.0048598064334812,0.0050855849754168,0.005027041278872,0.0054209413869702,0.0053861906838469,0.0056027742295089,0.0063983803760742,0.0068363683899948,0.0071551164503405,0.0077575880314266,0.0083162755433568,0.0084234680305111,0.0092015798793883
LBR,Liberia,0.0009982801318392,0.001012253772751,0.0010605986590991,0.0015832267265263,0.0016945365602818,0.0016851556787983,0.0018489709415051,0.0023171052179852,0.0025702842504495,0.0035283651754939,0.0041585849685027,0.0047767531760294,0.0053003534922676,0.0055010805193582,0.0057707225913293,0.0059995308611177,0.0062437534996481
MDG,Madagascar,0.0040381369774753,0.0048179543580112,0.0051592943156201,0.0057252955841785,0.0057791857988905,0.0074828860581939,0.00692466264569,0.0086386239331082,0.0104796844591071,0.0118809372762811,0.0127390053637342,0.0159196714741562,0.0171382868115992,0.0161311412715322,0.0161276882579406,0.0148401514801287,0.0122414476666268
MYS,Malaysia,0.0058124141216191,0.0068193339305345,0.0078084541133212,0.0093444262083816,0.0096600057330177,0.0102636661524551,0.0115464989298715,0.0111298602306249,0.0110620295161475,0.0112465709266087,0.0115480172807583,0.0105205025438113,0.0110039565378367,0.0096206086768308,0.0085995274635501,0.0071819053600206,0.0060464840520113
MEX,Mexico,0.0020150667601274,0.0023332620839167,0.0025860103986753,0.0032060794177556,0.0033119098173438,0.0035327422280977,0.0035162161542263,0.0036694717058413,0.0031735246355095,0.0032766185947101,0.0037232361266405,0.0043196741965617,0.0045083714785761,0.0054198358759821,0.0061956853086899,0.0058697181333975,0.0054939400754417
MMR,Myanmar,0.0013748004834288,0.0016363356893577,0.0017838965098983,0.0020455368101365,0.0022827478484976,0.0023138424284723,0.0023531517829989,0.0024566049333058,0.0024638679049047,0.0024832775050474,0.0029047466455285,0.0029850848634755,0.0030496247078324,0.0029948061843512,0.0030377781533339,0.0028915925360255,0.0028646480685147
NPL,Nepal,0.0003069709585463,0.0003341428574326,0.000302862441502,0.0003862276583645,0.000360562639944,0.0003204716501376,0.0003041441142489,0.0002708975154369,0.0001557206411857,0.0001437067013799,0.0001656746995506,0.0002214228101239,0.0002490471513212,0.0002857805574682,0.0003057728657966,0.0003238179508181,0.0002960463969149
NIC,Nicaragua,0.0033848476399769,0.0063949244859824,0.0066817869441061,0.0079530053936911,0.0098546106056033,0.0104170576620636,0.007556526353565,0.0081500063047932,0.0088724809239065,0.0070929418034237,0.0103509089504393,0.0245394858380097,0.0263208170786358,0.0273694358579526,0.031337661647308,0.0319931751243128,0.0193262491111478
NGA,Nigeria,0.0017232017656565,0.001368099066984,0.0016055266403404,0.001696801807156,0.0022074005956935,0.0026219660338306,0.0029696944857086,0.0032109632044224,0.0038419684515507,0.003688269830064,0.0042066712215908,0.0053971165499284,0.0063216418451842,0.006549369043683,0.0075234041979477,0.0075027325999221,0.0070265896648942
PAN,Panama,0.0008854502145045,0.0009696936237625,0.0013335672318916,0.0015459060878391,0.0015892112425422,0.0016020805544519,0.0016023183021338,0.0013863552551309,0.0011894319558784,0.0011248075587354,0.001203878163032,0.0013967240766836,0.0015621265357811,0.0018055227585352,0.002120161867556,0.0020790376456957,0.0019484654082889
PNG,Papua New Guinea,0.0006451769778774,0.0006545244323923,0.0007682559195598,0.0007564573716682,0.0008570510420472,0.0008672677710747,0.0009571437249513,0.0009370738827238,0.0011536565691207,0.001430882057609,0.0017608836444752,0.0019074079113591,0.0021935561409829,0.0021903982483301,0.0019874495629268,0.0017610737397063,0.0018309534361791
PRY,Paraguay,0.0158392696149289,0.0178641330346828,0.0166698656367886,0.0157808926173261,0.0166501866016072,0.018728257715496,0.0186164625410494,0.0186066887097635,0.0179485661743025,0.0153882377681404,0.0143393917327226,0.0135493639114942,0.0119298624506541,0.0126572729709922,0.0143981612871711,0.0143341507754503,0.0121815230804008
PER,Peru,0.0008912467166754,0.0009836365266122,0.0011140187692293,0.0012822653274371,0.0012925985710781,0.0013796092989308,0.0016667508430864,0.0018232018315148,0.0018605862631849,0.0018718529505812,0.0020276095122625,0.0020387621341263,0.0020309917931524,0.0021134019818011,0.0023603015247879,0.002393744795127,0.0023355926151985
PHL,Philippines,0.0012356784074964,0.0014648607241719,0.0015251159018084,0.0015193550732338,0.0016304699693802,0.0015334534318443,0.0014521649883801,0.001678092789885,0.001876013371986,0.0017712129684991,0.0021405673107119,0.0024375728952582,0.0023672015608155,0.0021971813215726,0.0022527323974755,0.0019666561362915,0.0025594526190486
COG,Republic of Congo,0.0004277432516779,0.0004628706343119,0.0004252174850584,0.0004508379341911,0.000564198327294,0.0005827978704867,0.0005933570168242,0.0007722922242826,0.0009938878986423,0.0009711898772486,0.0012539248219817,0.0013664117382122,0.0013855975077473,0.0013809176873876,0.0014574875685544,0.001229736489642,0.0012239356265487
SLB,Solomon Islands,0.0011986424097574,0.0012876752646415,0.0016439485845693,0.0017368464419558,0.0016748398452176,0.0017349387631795,0.0019594864933576,0.0020368193865416,0.0027594554657524,0.0033678030854061,0.0042286235839146,0.0051392292497546,0.0059174312654788,0.0061177967270374,0.00623532028847,0.0059175460936645,0.0054970796179603
SUR,Suriname,0.0001674159571962,0.0001709585126941,0.0002052234129442,0.0002273437403574,0.0002741466188102,0.0003091163619392,0.0004873675637562,0.0005217717707902,0.0006068508110871,0.0006582672821699,0.0007574199423732,0.00076020557187,0.0008970675175145,0.0009652620182932,0.0010121951162169,0.0010068123644029,0.0009805682129373
TZA,Tanzania,0.0010337114495467,0.0010538877267264,0.0011439167074444,0.0012021141359106,0.0012937063007811,0.0013111913489163,0.0014334480328051,0.0018630901476785,0.0025410816742935,0.0026592911946945,0.003048436579596,0.0032777576670708,0.0031778441036667,0.002972616558115,0.0035044418917868,0.0034222135322553,0.0032998302921618
THA,Thailand,0.0012252063457434,0.0014768151233169,0.0015970741533588,0.0017710399878754,0.0018225221299853,0.0017892693598645,0.0016803461738746,0.0015508760696255,0.001262913817911,0.0009300483763904,0.0008033319706598,0.0006569044560376,0.0005886930445281,0.0005203297760372,0.0005623684431884,0.0004988795565774,0.0004837096915499
UGA,Uganda,0.003758247514156,0.0050845047256777,0.0061749559581504,0.0064886376023304,0.0072183757367355,0.0092018961839509,0.0094043495175979,0.0091143540638802,0.0095269425830782,0.0088875666894588,0.0074631568831524,0.0075804740472329,0.0077883768010193,0.0077486876345169,0.0079277035458076,0.0077065511808944,0.0071373175286379
USA,United States of America,0.0003418821346454,0.0003593916763204,0.0003659503938426,0.0003714225260476,0.0003305690925306,0.0003143928122757,0.0003522691899985,0.0003566722110477,0.0004210266176099,0.0005950831668476,0.0007702420546154,0.0120356362218901,0.0124088603933589,0.0123470153675281,0.0121808601291377,0.0119611632041989,0.0006191398236964
VUT,Vanuatu,0.000315431588174,0.000320167209898,0.000166876107958,0.0005557752415096,0.0005972169954489,0.0007599281114753,0.0007789930009412,0.000878520797183,0.0004943362578952,0.0008045414709548,0.0007270575134895,0.0007952245918131,0.0007995544276881,0.000763068211008,0.0012939378603347,0.0011790603425126,0.0010851447551034
VEN,Venezuela,0.000403152450288,0.0004797773468805,0.000475028693905,0.0005139370850952,0.0005669994442718,0.0005739742261735,0.0005533026233606,0.0005299448908747,0.0005153016001598,0.00046213902104,0.0008201419304435,0.0009322003488964,0.0010089654167935,0.0012069321492229,0.0014045728012089,0.0010834419037569,0.0009593955472449
VNM,Viet Nam,0.0026615031503708,0.0029958150685497,0.0037348934310583,0.0044979874367851,0.0055928188530833,0.0063434438621809,0.0077117212952924,0.0074834431479201,0.0073358585253332,0.0065619846014697,0.0072587348054485,0.0065657477199289,0.0067639407639302,0.0064390147919095,0.0062618886960305,0.0050780033632932,0.0043844631957051
